file_path|speaker|text|language
sample_000.wav|speaker_0|Olá, como você está hoje?|pt
sample_001.wav|speaker_1|Meu nome é Claude e sou um assistente virtual.|pt
sample_002.wav|speaker_2|O céu está azul e o sol está brilhando.|pt
sample_003.wav|speaker_0|Eu gosto de aprender novos idiomas.|pt
sample_004.wav|speaker_1|A música brasileira é muito bonita.|pt
sample_005.wav|speaker_2|Vamos estudar português juntos.|pt
sample_006.wav|speaker_0|O Brasil é um país muito grande.|pt
sample_007.wav|speaker_1|Adoro falar em português.|pt
sample_008.wav|speaker_2|A comida brasileira é deliciosa.|pt
sample_009.wav|speaker_0|Muito obrigado pela sua ajuda.|pt
